Stock,Sequence,Accuracy,Train MAPE,Test MAPE
ADBL,3,95.1219512195122,2.5070412810544744,1.9732057875804998
ADBL,4,89.26829268292683,3.889598519197162,2.236557025224288
ADBL,5,91.70731707317074,1.867258169922904,2.112737054876334
ADBL,6,86.76470588235294,2.6804719582238152,2.4542920940570707
ADBL,7,85.29411764705883,3.8996061500307837,2.406152899675466
ADBL,8,92.15686274509804,2.089037394768474,2.18607570053348
ADBL,9,86.76470588235294,2.013217191100445,2.373325537864303
ADBL,10,89.2156862745098,2.5653890299395354,2.321957616185805
CZBIL,3,91.70731707317074,2.3600332713773366,2.176879916606655
CZBIL,4,92.6829268292683,1.9554769334265094,1.756503380510013
CZBIL,5,91.66666666666666,2.460421002039603,2.067582768014399
CZBIL,6,93.62745098039215,1.6700632254085472,1.816987384169291
CZBIL,7,92.64705882352942,1.6723617884035167,1.8981402595521928
CZBIL,8,92.64705882352942,2.1717295274435817,1.9377503546199302
CZBIL,9,90.68627450980392,2.7701410395253667,2.427410085049584
CZBIL,10,91.13300492610837,1.9918109663941284,1.9918614581828187
EBL,3,95.60975609756098,1.6501684408545163,1.7848855101608334
EBL,4,96.09756097560975,1.5452536597308495,1.6366485725477549
EBL,5,95.60975609756098,1.6935270090157735,1.7510411045135708
EBL,6,95.58823529411765,1.5292858893011265,1.6039465193547722
EBL,7,94.11764705882352,1.8365906195774817,2.164344269081611
EBL,8,94.6078431372549,1.6763800898018604,1.7277551565242435
EBL,9,94.6078431372549,1.6980353865492157,1.780580760404843
EBL,10,95.09803921568627,2.066811999027018,1.9923583221134689
GBIME,3,89.63414634146342,3.2797755500336936,2.9366711930579834
GBIME,4,82.82208588957054,3.764250689062549,3.38407107168653
GBIME,5,92.63803680981594,2.524809890324453,2.06548830313985
GBIME,6,88.95705521472392,4.3349327200786805,2.413375975129869
GBIME,7,91.41104294478528,2.910411286539838,2.115074246885257
GBIME,8,89.57055214723927,2.4117379757197552,2.323399432469984
GBIME,9,93.82716049382715,1.9783787737417,2.036752160509644
GBIME,10,92.5925925925926,3.0177741535123164,2.178290649339698
HBL,3,63.87096774193548,3.268233927037757,4.478929981935121
HBL,4,64.51612903225806,5.938919873084005,4.4364342525613925
HBL,5,71.42857142857143,4.162139584589091,3.7367389926681267
HBL,6,66.23376623376623,2.7323210376585827,4.070948634568538
HBL,7,71.42857142857143,3.0752968131169722,3.4423842212033198
HBL,8,70.77922077922078,5.694111386786214,3.437595401882511
HBL,9,75.32467532467533,3.9528588108293334,3.2616369512007095
HBL,10,65.359477124183,4.117768535678941,4.187137972122548
KBL,3,91.3265306122449,2.0600130156500454,2.1357173525850484
KBL,4,92.3469387755102,1.8884173235758437,1.9577363649470225
KBL,5,90.81632653061224,2.5276971828004533,2.248797956605476
KBL,6,91.83673469387756,2.2395188840636098,2.322611087144513
KBL,7,92.3469387755102,3.14133280440924,2.1130321088026034
KBL,8,91.7948717948718,2.484766089282365,2.2451258236679106
KBL,9,84.1025641025641,2.223682282692381,2.810348512139687
KBL,10,91.28205128205128,2.664438483715865,2.093311937482123
MBL,3,88.72549019607843,2.818642003264023,2.5139688337561643
MBL,4,94.6078431372549,1.8532561252153423,1.9196638524182532
MBL,5,93.62745098039215,2.0244090323638,1.9578671763633875
MBL,6,88.72549019607843,2.7770002383179433,2.446412302175701
MBL,7,85.29411764705883,3.0624040661296164,2.735627345185226
MBL,8,94.08866995073892,1.7600729600329612,1.9246144563025924
MBL,9,92.11822660098522,1.7828144715301049,2.064159731919718
MBL,10,92.11822660098522,1.6497661113078346,2.069698759419237
NABIL,3,64.8780487804878,4.450814453824116,4.198436319683045
NABIL,4,75.1219512195122,2.5940758931382066,3.5927411033957197
NABIL,5,75.49019607843137,3.681769106920272,3.560348503717111
NABIL,6,73.0392156862745,3.1941614662423916,3.531988085895647
NABIL,7,83.82352941176471,2.9962528719292503,3.0462162122033614
NABIL,8,65.19607843137256,9.987891756707015,4.082284007468977
NABIL,9,79.41176470588235,3.3497951008062854,3.0695767174856172
NABIL,10,75.86206896551724,3.462354421540687,3.249290267725381
NBL,3,94.14634146341463,2.182543728968006,2.050314882359358
NBL,4,90.2439024390244,1.7564956921347015,2.2370826648302486
NBL,5,91.66666666666666,2.3438095635699434,2.238068222790921
NBL,6,88.72549019607843,2.4395432724721786,2.2811281668617016
NBL,7,87.25490196078431,2.2062265124459945,2.421088197461329
NBL,8,93.13725490196079,2.433905042964062,2.0883200303280662
NBL,9,88.23529411764706,2.2723604483173,2.3682069945024886
NBL,10,90.64039408866995,1.777414831293545,2.2132290531083103
NICA,3,59.512195121951216,1.9635734889936516,5.05661802397628
NICA,4,55.392156862745104,2.7497451161641933,5.759246869637168
NICA,5,58.333333333333336,3.2375428618867876,5.414711418273071
NICA,6,50.0,2.16812329308538,6.047201576798186
NICA,7,42.64705882352941,2.054346935284783,6.7304593033437525
NICA,8,45.09803921568628,2.59875040657542,6.688211280415332
NICA,9,47.783251231527096,2.4678002993122927,6.112624191449013
NICA,10,44.33497536945813,2.9304804429349747,6.678968254919352
NMB,3,79.3103448275862,2.6934637051419394,3.3827834951549676
NMB,4,79.20792079207921,2.696450215480303,3.2896369321164425
NMB,5,82.17821782178217,3.067015570880726,3.0765667043643257
NMB,6,82.17821782178217,3.719908459313423,3.1010075799964913
NMB,7,87.62376237623762,2.597308211672727,2.928033367213528
NMB,8,83.66336633663366,1.757924744679179,3.005350446569916
NMB,9,77.11442786069652,2.777424216869308,3.4535865618501265
NMB,10,80.09950248756219,2.9657695149870147,3.3691428522257714
PCBL,3,83.82352941176471,4.04487789337589,3.0724942690848587
PCBL,4,90.68627450980392,5.172555063029202,2.466943483014666
PCBL,5,91.17647058823529,2.5289024272963365,2.7407854338359625
PCBL,6,92.64705882352942,2.2011500408852913,2.407770526604542
PCBL,7,81.37254901960785,2.0772660127665192,3.1852752427386526
PCBL,8,89.65517241379311,3.156254524371481,2.257633583837328
PCBL,9,86.69950738916256,2.081753825733072,2.69383969961909
PCBL,10,77.33990147783251,2.428078592151957,3.4575257963096093
SANIMA,3,98.0392156862745,1.8292394496601996,1.6525784337445861
SANIMA,4,97.05882352941177,2.533196397454749,2.043614858500659
SANIMA,5,98.0392156862745,2.4289512658330357,1.882755401720383
SANIMA,6,97.05882352941177,2.5589543737385685,1.8838058410893328
SANIMA,7,97.54901960784314,2.1167901501163287,1.8601165055164177
SANIMA,8,97.53694581280789,2.032902076448246,1.7572535101195224
SANIMA,9,97.53694581280789,2.0092879036745286,1.803409255231147
SANIMA,10,97.53694581280789,2.8042717939744866,1.8277769421635357
SBI,3,95.60975609756098,1.6955980189834734,1.7448576940200446
SBI,4,95.58823529411765,1.5039271687845166,1.6774544781158751
SBI,5,96.07843137254902,1.870214733506528,1.7415391145554242
SBI,6,96.07843137254902,1.708095825227745,1.6964083459133774
SBI,7,96.07843137254902,2.2755477693426993,1.9746264609748463
SBI,8,96.07843137254902,2.2902743083737755,1.817596647926669
SBI,9,97.04433497536947,2.170030310067083,1.8858256459658205
SBI,10,96.05911330049261,1.9124663566923366,1.7955233083299624
SBL,3,86.82926829268293,2.359633267141158,2.53491565051779
SBL,4,91.17647058823529,2.422808662559572,2.215252351207989
SBL,5,91.66666666666666,2.0413124006352414,2.2727716371726254
SBL,6,93.13725490196079,2.6519649684609377,2.3657025479060643
SBL,7,90.68627450980392,2.5276387183401186,2.6283377461641915
SBL,8,90.19607843137256,2.14580626564431,2.2441315401301285
SBL,9,93.10344827586206,1.8847623138585512,2.1495509197452773
SBL,10,94.08866995073892,2.1824361419146707,2.2058563179529043
SCB,3,97.07317073170731,1.9178147931158007,1.4292000596030312
SCB,4,98.52941176470588,2.121628823377109,1.436706038375801
SCB,5,96.56862745098039,2.420457880215121,1.4140478030790344
SCB,6,96.07843137254902,2.9938271337151234,1.5873089439390444
SCB,7,96.56862745098039,3.2514514007081807,1.7091691029091405
SCB,8,92.64705882352942,2.418489170386662,1.9692213424476916
SCB,9,94.08866995073892,3.5705984929243937,2.2902966368173474
SCB,10,89.16256157635468,2.2686708574590417,2.053399428121747
PRVU,3,87.3170731707317,3.780549700275259,2.9864560359498076
PRVU,4,90.2439024390244,3.133764878841468,2.384778087507556
PRVU,5,88.23529411764706,4.098494907249319,2.700608300845838
PRVU,6,88.72549019607843,3.376996969854161,2.692498381754748
PRVU,7,92.15686274509804,3.254086148037628,2.37990896636566
PRVU,8,89.70588235294117,2.059343317590386,2.5966420716523615
PRVU,9,88.72549019607843,4.2078691334765095,2.4189322666658173
PRVU,10,77.83251231527095,3.6533043601301447,3.5299971451147196
NIMB,3,44.642857142857146,2.3130780164414717,7.14699374998522
NIMB,4,46.42857142857143,1.8541441536859808,7.322359241482024
NIMB,5,28.57142857142857,2.121137566363768,8.015053091983242
NIMB,6,25.0,2.1175404819396237,8.746953259964416
NIMB,7,9.090909090909092,1.698968357875588,10.032721266989904
NIMB,8,10.909090909090908,1.810778231228189,9.870300015967969
NIMB,9,7.2727272727272725,2.5164990397788625,12.426104485065489
NIMB,10,7.2727272727272725,2.50191161936156,12.396547201616878
LSL,3,60.60606060606061,17.944849051622683,4.320105303483407
LSL,4,60.60606060606061,16.350794504601982,4.9308285692346665
LSL,5,71.875,15.887882675508285,3.4367639852452205
LSL,6,62.5,11.586055108320794,4.448740456624405
LSL,7,81.25,3.390158848017153,3.488766596262289
LSL,8,71.875,6.335297446691866,3.3072011415572047
LSL,9,37.5,5.4635238662736105,6.217520322350439
LSL,10,80.64516129032258,2.6510583365711846,2.7800966930390114
